gameId,timestamp,duration_ticks,peak_multiplier,final_price,is_instarug,total_trades,unique_players,buy_orders,sell_orders,buy_sell_ratio,players_actually_trading,avg_trades_per_player,avg_volume_per_player,top_player_volume_ratio,profitable_players,profitable_player_ratio,total_profits,total_losses,profit_loss_ratio,early_entry_players,late_entry_players,early_entry_ratio,avg_player_level,high_level_players,high_level_ratio,scalpers,whales,hodlers,flippers,early_birds,late_joiners,regular_traders,duration_risk,concentration_risk,activity_risk,composite_risk_score
20250705-797ae602fdb44dc0,2025-07-05T23:48:58.914Z,196,2.864,2.335322,False,59,22,33,26,1.269,22,2.68,0.388,0.415,12,0.545,0.79,0.713,1.108,3,10,0.136,27.2,8,0.364,0,1,6,2,1,4,8,0.608,0.415,0.59,0.545
20250705-63bcfa52e7cd4fe0,2025-07-05T23:50:04.680Z,261,1,0.347175,False,73,29,42,31,1.355,29,2.52,1.276,0.42,7,0.241,0.879,1.995,0.441,11,11,0.379,27.8,12,0.414,0,0,15,1,4,4,5,0.478,0.42,0.73,0.536
20250705-21b8c870f180403b,2025-07-05T23:51:26.537Z,2,1.015,1.01496,True,10,10,10,0,10.0,10,1,0.358,0.735,0,0.0,0,3.583,0.0,0,10,0.0,26.9,3,0.3,0,1,9,0,0,0,0,0.996,0.735,0.1,0.649
20250705-dc3bffa1b8074784,2025-07-05T23:51:43.079Z,474,4.639,1.339978,False,128,30,71,57,1.246,30,4.27,1.046,0.49,12,0.4,8.455,3.667,2.306,17,3,0.567,24.8,9,0.3,0,1,11,4,7,1,6,0.052,0.49,1,0.468
20250705-a6abd482a6464ee3,2025-07-05T23:53:58.435Z,80,1.409,0.845074,False,28,19,19,9,2.111,19,1.47,0.34,0.471,6,0.316,0.366,2.555,0.143,5,7,0.263,28,7,0.368,0,1,11,0,0,2,5,0.84,0.471,0.28,0.561
20250705-67895aab8b2447f0,2025-07-05T23:54:34.895Z,120,7.624,5.155371,False,40,16,22,18,1.222,16,2.5,0.673,0.655,7,0.438,6.86,0.272,25.222,4,1,0.25,29.4,6,0.375,0,0,6,0,2,1,7,0.76,0.655,0.4,0.621
20250705-1c15d0211a214222,2025-07-05T23:55:21.177Z,282,3.109,0.537003,False,80,25,50,30,1.667,25,3.2,1.018,0.709,5,0.2,2.81,4.114,0.683,8,4,0.32,28.0,10,0.4,0,0,12,5,4,1,3,0.436,0.709,0.8,0.627
20250705-df82421bc9ca4cca,2025-07-05T23:56:48.334Z,2,1.022,1.022169,True,10,6,10,0,10.0,6,1.67,0.544,0.721,0,0.0,0,3.262,0.0,0,6,0.0,25.8,2,0.333,0,1,5,0,0,0,0,0.996,0.721,0.1,0.645
20250705-f4ed879d06d54328,2025-07-05T23:57:05.281Z,717,8.185,5.640707,False,189,35,96,93,1.032,35,5.4,1.089,0.277,19,0.543,3.742,2.003,1.869,26,4,0.743,26.8,13,0.371,0,1,8,0,20,3,3,0,0.277,1,0.383
20250706-896a5303c0bd4533,2025-07-06T00:00:22.051Z,717,8.185,0,False,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0
20250706-896a5303c0bd4533,2025-07-06T00:05:09.697Z,68,2.56,2.489756,False,13,4,6,7,0.857,4,3.25,0.227,0.429,2,0.5,0.104,0.126,0.822,1,0,0.25,38.8,2,0.5,0,0,0,0,1,0,3,0.864,0.429,0.13,0.513
20250706-f29e710642024c6a,2025-07-06T00:05:30.328Z,5,1.011,0.822598,True,10,10,9,1,9.0,10,1,0.11,0.285,1,0.1,0.001,1.057,0.001,1,9,0.1,36.8,9,0.9,0,0,9,0,0,1,0,0.99,0.285,0.1,0.512
20250706-b66d7deb5cc8457d,2025-07-06T00:05:47.433Z,296,7.87,4.30411,False,79,19,44,35,1.257,19,4.16,0.638,0.641,7,0.368,2.391,1.942,1.231,11,3,0.579,33.9,10,0.526,0,0,9,3,4,1,2,0.408,0.641,0.79,0.593
20250706-8b25421c0c7c4f0c,2025-07-06T00:07:17.918Z,93,1.217,0.993364,False,33,16,25,8,3.125,16,2.06,0.263,0.238,3,0.188,0.107,1.172,0.091,5,9,0.312,30.2,7,0.438,1,0,8,0,2,3,2,0.814,0.238,0.33,0.496
20250706-96c2f66e666043a4,2025-07-06T00:07:56.800Z,93,1,1,False,10,7,10,0,10.0,7,1.43,0.174,0.615,0,0.0,0,1.219,0.0,0,7,0.0,30.6,3,0.429,0,0,7,0,0,0,0,0.814,0.615,0.1,0.54
20250706-28ae0f21c4934802,2025-07-06T00:08:12.418Z,155,1.823,1.754981,False,48,18,27,21,1.286,18,2.67,0.668,0.345,8,0.444,0.896,1.767,0.507,17,1,0.944,38.6,11,0.611,0,0,9,3,5,1,0,0.69,0.345,0.48,0.523
20250706-ae13fd4cae604cb4,2025-07-06T00:09:07.028Z,377,2.476,2.456452,False,103,23,52,51,1.02,23,4.48,1.409,0.52,13,0.565,2.697,1.244,2.169,7,6,0.304,34.3,13,0.565,0,0,8,1,7,5,2,0.246,0.52,1,0.554
20250706-14eb0668005e4dfa,2025-07-06T00:10:57.791Z,209,2.502,2.487771,False,62,19,33,29,1.138,19,3.26,0.963,0.445,10,0.526,2.54,1.545,1.644,5,11,0.263,30.6,7,0.368,0,1,5,1,4,6,2,0.582,0.445,0.62,0.552
20250706-80bb8fca1d9f4d95,2025-07-06T00:12:06.185Z,296,4.715,3.941919,False,84,24,48,36,1.333,24,3.5,0.581,0.47,12,0.5,2.09,2.307,0.906,11,10,0.458,33.2,11,0.458,0,0,9,3,6,4,2,0.408,0.47,0.84,0.556
20250706-f5da831af4044b49,2025-07-06T00:13:36.442Z,217,3.777,1.577875,False,64,27,29,35,0.829,27,2.37,0.319,0.355,16,0.593,3.086,1.523,2.027,8,12,0.296,30.9,10,0.37,0,0,8,3,5,6,5,0.566,0.355,0.64,0.525
20250706-74b99fc3d5e1486a,2025-07-06T00:14:46.644Z,529,50.336,22.906073,False,142,30,77,65,1.185,30,4.73,0.483,0.573,13,0.433,4.651,1.604,2.9,12,3,0.4,30.7,13,0.433,0,0,13,6,7,2,2,0,0.573,1,0.472
20250706-fec30cf5d3bd4c7e,2025-07-06T00:17:16.004Z,198,1.243,0.854102,False,59,23,31,28,1.107,23,2.57,0.686,0.207,8,0.348,1.045,1.518,0.689,7,11,0.304,30.9,9,0.391,0,0,10,1,6,3,3,0.604,0.207,0.59,0.481
20250706-791b5508f8214c1d,2025-07-06T00:18:21.501Z,52,1.18,0.581332,False,21,14,16,5,3.2,14,1.5,0.271,0.441,2,0.143,0.26,1.921,0.135,2,9,0.143,35.7,6,0.429,0,0,10,1,1,1,1,0.896,0.441,0.21,0.554
20250706-bd93fb99a2ca41e8,2025-07-06T00:18:50.281Z,2,1.014,1.014121,True,10,9,10,0,10.0,9,1.11,0.185,0.643,0,0.0,0,1.663,0.0,0,9,0.0,29,4,0.444,0,1,8,0,0,0,0,0.996,0.643,0.1,0.621
20250706-2d2e11ef8e524282,2025-07-06T00:19:06.540Z,185,2.365,1.717757,False,55,23,27,28,0.964,23,2.39,0.385,0.317,14,0.609,1.343,1.247,1.078,15,3,0.652,31.3,11,0.478,0,0,5,1,9,3,5,0.63,0.317,0.55,0.512
20250706-6f0449c6675545e8,2025-07-06T00:20:09.041Z,359,1.766,0.944403,False,99,27,54,45,1.2,27,3.67,0.773,0.427,14,0.519,4.141,1.655,2.502,5,7,0.185,31.7,12,0.444,0,0,10,3,4,4,6,0.282,0.427,0.99,0.538
20250706-be72dd1f7c464c89,2025-07-06T00:21:55.319Z,166,1.416,0.969003,False,51,24,37,14,2.643,24,2.12,0.643,0.355,6,0.25,1.514,3.643,0.416,8,11,0.333,34.6,11,0.458,0,0,14,0,6,2,2,0.668,0.355,0.51,0.527
20250706-fd4227ea2aaf422e,2025-07-06T00:22:52.842Z,106,1.078,0.319607,False,36,20,24,12,2.0,20,1.8,0.743,0.628,8,0.4,0.437,3.076,0.142,5,11,0.25,32.1,8,0.4,0,0,12,1,3,2,2,0.788,0.628,0.36,0.611
20250706-c1b3dbf1b71d45fd,2025-07-06T00:23:35.113Z,202,5.542,4.73301,False,60,21,35,25,1.4,21,2.86,0.539,0.392,9,0.429,3.006,1.192,2.522,7,1,0.333,36.1,11,0.524,0,0,9,1,4,1,6,0.596,0.392,0.6,0.536
20250706-b098d406ca284e76,2025-07-06T00:24:41.712Z,308,3.455,1.958102,False,86,33,43,43,1.0,33,2.61,0.415,0.505,14,0.424,2.643,2.362,1.119,6,6,0.182,33.5,15,0.455,0,1,10,2,5,5,10,0.384,0.505,0.86,0.563
20250706-b4ab35e6163e4597,2025-07-06T00:26:15.283Z,112,1.007,0.540962,False,38,19,24,14,1.714,19,2,0.919,0.694,8,0.421,1.912,2.689,0.711,4,12,0.211,36.3,12,0.632,0,1,10,0,3,4,1,0.776,0.694,0.38,0.633
20250706-c38b5e4cc1b14ad8,2025-07-06T00:26:59.317Z,49,2.92,2.906333,False,22,17,16,6,2.667,17,1.29,0.228,0.258,5,0.294,1.301,1.54,0.845,1,12,0.059,35.5,8,0.471,0,0,11,0,1,2,3,0.902,0.258,0.22,0.504
20250706-6aad1c93542c4f73,2025-07-06T00:27:27.309Z,43,1.308,0.888931,False,18,12,11,7,1.571,12,1.5,0.331,0.477,3,0.25,0.818,0.989,0.827,2,8,0.167,35.6,6,0.5,0,0,8,0,2,0,2,0.914,0.477,0.18,0.563
20250706-92101cf88f8844ea,2025-07-06T00:27:53.993Z,8,1.2,1.167462,True,13,12,12,1,12.0,12,1.08,0.284,0.441,0,0.0,0,3.015,0.0,1,11,0.083,40.3,7,0.583,0,1,11,0,0,0,0,0.984,0.441,0.13,0.565
20250706-910327151ba34570,2025-07-06T00:28:11.857Z,345,53.413,40.362977,False,96,23,46,50,0.92,23,4.17,0.567,0.437,15,0.652,10.281,1.108,9.277,16,2,0.696,41.1,16,0.696,1,0,6,2,9,2,3,0.31,0.437,0.96,0.543
20250706-35ae2499c9264584,2025-07-06T00:29:54.355Z,76,1.363,0.986257,False,28,17,19,9,2.111,17,1.65,0.268,0.534,5,0.294,0.2,0.96,0.208,3,11,0.176,36.2,8,0.471,0,0,11,2,2,1,1,0.848,0.534,0.28,0.583
20250706-1f62aabc5068406a,2025-07-06T00:30:29.397Z,552,5.307,3.606377,False,147,27,77,70,1.1,27,5.44,1.056,0.397,17,0.63,5.979,1.496,3.996,17,4,0.63,32.7,13,0.481,0,1,5,4,13,2,2,0,0.397,1,0.419
